letter	frequency
012-2426-2467	6709.24
012-2426-2468	2602.96
012-2426-2469	2066.73
012-2426-2470	834.82
012-2426-2471	2957.81
012-2426-2472	6153.34
012-2426-2473	2621.54
012-2426-2474	3613.74
012-2426-2475	7209.73
012-2426-2476	5110.67
012-2426-2477	5693.42
012-2426-2478	9432.44
012-2426-2479	7381.98
012-2426-2480	2788.32
012-2426-2481	3433.95
012-2426-2482	4857.77
012-2426-2483	5461.72
012-2426-2484	5604.90
012-2426-2485	2534.38
012-2426-2486	4541.60
012-2426-2487	2961.26
012-2426-2488	3444.55
012-2426-2489	5226.56
012-2426-2490	4523.64
012-2426-2491	3784.81
012-2426-2492	3107.46
012-2426-2493	4138.61
012-2426-2494	3201.23
012-2426-2495	3833.83
012-2426-2496	2983.53
012-2426-2497	6901.33
012-2426-2498	5086.74
012-2426-2499	4351.90
012-2426-2500	3180.87
012-2426-2502	4672.20
012-2426-2503	7176.54
012-2426-2504	4652.41
012-2426-2505	3620.26
012-2426-2506	4862.42
012-2426-2507	1977.68
012-2426-2508	4517.86
012-2426-2509	4483.93
012-2426-2510	9193.39
012-2426-2511	4307.30
012-2426-2512	7071.37
012-2426-2513	7206.01
012-2426-2514	1266.39
012-2426-2515	674.06
012-2426-2516	7118.33
012-2426-2517	3197.72
012-2426-2518	2923.68
012-2426-2519	2710.21
012-2426-2520	4241.05
012-2426-2521	4389.20
012-2426-2522	10819.50
012-2426-2523	4160.87
012-2426-2524	2679.12
012-2426-2525	3441.73
012-2426-2526	4962.61
012-2426-2527	2610.16
012-2426-2528	3470.39
012-2426-2529	7132.74
012-2426-2530	4397.37
012-2426-2531	4025.34
012-2426-2532	1422.83
012-2426-2533	5641.05
012-2426-2534	4238.46
012-2426-2535	6014.57
012-2426-2536	4629.66
012-2426-2537	2398.54
012-2426-2538	3834.14
012-2426-2539	8979.86
012-2426-2540	2077.07
012-2426-2541	2178.93
012-2426-2542	4288.83
012-2426-2543	3290.80
012-2426-2544	2776.93
012-2426-2545	5701.80
012-2426-2546	4000.54
012-2426-2547	5705.26
012-2426-2548	3753.53
012-2426-2549	5808.79
012-2426-2550	6813.82
012-2426-2551	4804.92
012-2426-2552	3430.13
012-2426-2553	3389.00
012-2426-2554	3773.28
012-2426-2555	5238.26
012-2426-2556	2790.66
012-2426-2557	3942.53
012-2426-2558	6550.55
012-2426-2559	2642.04
012-2426-2560	2315.89
012-2426-2561	4432.95
012-2426-2562	4890.59
012-2426-2563	2105.90
012-2426-2564	6425.71
012-2426-2565	2863.67
012-2426-2566	3154.03
012-2426-2567	2673.99
012-2426-2568	233.93
012-2426-2569	4618.73
012-2426-2570	758.67
012-2426-2571	8283.99
012-2426-2572	2216.04
012-2426-2573	2759.85
012-2426-2574	1169.41
012-2426-2575	4907.04
012-2426-2576	3652.34
012-2426-2577	2747.51
012-2426-2578	3992.80
012-2426-2579	4297.10
012-2426-2580	4087.16
012-2426-2581	2913.64
012-2426-2582	2688.87
012-2426-2583	3734.30
012-2426-2584	1603.87
012-2426-2585	2273.27
012-2426-2586	1919.25
012-2426-2587	3172.51
012-2426-2588	3295.36
012-2426-2589	4254.51
012-2426-2590	639.97
012-2426-2591	5222.07
012-2426-2592	3809.91
012-2426-2593	8024.93
012-2426-2594	2635.27
012-2426-2595	7224.10
012-2426-2596	17381.98
012-2426-2597	783.74
012-2426-2598	1858.92
012-2426-2599	6993.39
012-2426-2600	4385.93
012-2426-2601	1547.14
012-2426-2602	4212.88
012-2426-2604	5192.05
012-2426-2605	2104.04
012-2426-2606	2681.41
012-2426-2607	3552.38
012-2426-2608	6394.90
012-2426-2609	2557.47
012-2426-2610	2054.08
012-2426-2611	3495.53
012-2426-2612	3336.55
012-2426-2613	2552.98
012-2426-2614	5751.15
012-2426-2615	3706.42
012-2426-2616	3899.33
012-2426-2617	843.86
012-2426-2618	7052.06
012-2426-2619	5806.98
012-2426-2620	7012.42
012-2426-2621	2869.09
012-2426-2622	11786.98
012-2426-2623	6844.84
012-2426-2624	7416.82
012-2426-2625	4058.74
012-2426-2626	8846.38
012-2426-2627	6061.81
012-2426-2628	2249.00
012-2426-2629	3986.75
012-2426-2630	1721.33
012-2426-2631	5453.06
012-2426-2632	10895.96
012-2426-2633	7130.35
012-2426-2634	1771.87
012-2426-2635	3690.05
012-2426-2636	2576.55
012-2426-2637	11173.75
012-2426-2638	9217.25
012-2426-2639	2794.65
012-2426-2640	5348.04
012-2426-2641	6373.98
012-2426-2642	5766.81
012-2426-2643	966.28
012-2426-2644	3422.54
012-2426-2645	4291.27
012-2426-2646	7624.80
012-2426-2647	3668.11
012-2426-2648	3401.30
012-2426-2649	7227.19
012-2426-2650	7658.13
012-2426-2651	7118.15
012-2426-2652	2573.01
012-2426-2653	5490.59
012-2426-2654	3260.78
012-2426-2655	3492.37
012-2426-2656	3977.77
012-2426-2657	5916.67
012-2426-2658	3333.00
012-2426-2659	4899.23
012-2426-2660	2832.08
012-2426-2661	6075.35
012-2426-2662	7772.00
012-2426-2663	4956.53
012-2426-2666	5747.33
012-2426-2667	6210.82
012-2426-2668	4818.74
012-2426-2669	6533.94
012-2426-2670	3554.27
012-2426-2671	2576.39
012-2426-2672	6832.46
012-2426-2673	6749.02
012-2426-2674	1353.68
012-2426-2675	5350.88
012-2426-2676	9453.20
012-2426-2677	5336.03
012-2426-2678	3641.60
012-2426-2679	4979.12
012-2426-2680	5184.27
012-2426-2681	1635.79
012-2426-2682	4522.21
012-2426-2683	3746.55
012-2426-2684	3041.97
012-2426-2685	5591.18
012-2426-2686	4539.29
012-2426-2687	2362.36
012-2426-2688	677.84
012-2426-2689	2983.99
012-2426-2690	5647.14
012-2426-2691	4739.00
012-2426-2692	12310.14
012-2426-2693	4725.93
012-2426-2694	5067.47
012-2426-2695	4779.65
012-2426-2696	4184.83
012-2426-2697	8398.92
012-2426-2698	3174.29
012-2426-2700	3150.38
012-2426-2702	3300.51
012-2426-2703	1622.99
012-2426-2704	2269.37
012-2426-2705	4464.26
012-2426-2706	3671.69
012-2426-2707	2234.45
012-2426-2708	5267.22
012-2426-2709	3803.44
012-2426-2710	4085.39
012-2426-2711	4027.64
012-2426-2712	4818.33
012-2426-2713	1220.52
012-2426-2714	3380.85
012-2426-2715	4016.35
012-2426-2716	6984.08
012-2426-2717	5662.92
012-2426-2718	3496.82
012-2426-2719	4784.27
012-2426-2720	7697.99
012-2426-2721	5574.48
012-2426-2722	4551.24
012-2426-2723	6955.70
012-2426-2724	3230.51
012-2426-2725	3964.54
012-2426-2726	2875.46
012-2426-2727	3270.77
012-2426-2728	6514.09
012-2426-2729	3353.08
012-2426-2730	8880.94
012-2426-2731	3354.25
012-2426-2732	4557.20
012-2426-2733	3664.83
012-2426-2734	4821.66
012-2426-2735	595.76
012-2426-2736	3328.30
012-2426-2737	4257.78
012-2426-2738	157326.32
012-2426-2739	5651.48
012-2426-2740	3416.24
012-2426-2741	6396.45
012-2426-2742	1613.17
012-2426-2743	3598.54
012-2426-2744	280.98
012-2426-2745	2977.52
012-2426-2746	5591.81
012-2426-2747	3167.51
012-2426-2748	8363.91
012-2426-2749	5037.26
012-2426-2750	4704.02
012-2426-2751	5941.10
012-2426-2752	3573.53
012-2426-2753	5033.28
012-2426-2754	4850.16
012-2426-2755	13683.06
012-2426-2756	1141.73
012-2426-2757	3013.64
012-2426-2758	6339.46
012-2426-2759	3114.31
012-2426-2760	4002.79
012-2426-2761	2787.16
012-2426-2762	2671.34
012-2426-2763	5026.96
012-2426-2764	1564.96
012-2426-2765	1873.62
012-2426-2766	2296.90
012-2426-2767	7074.75
012-2426-2768	3506.06
012-2426-2769	3513.25
012-2426-2770	3239.96
012-2426-2771	4438.28
012-2426-2772	8190.13
012-2426-2773	2258.94
012-2426-2774	2877.70
012-2426-2775	5587.62
012-2426-2776	1766.70
012-2426-2777	4493.76
012-2426-2778	5017.19
012-2426-2779	2076.78
012-2426-2780	2092.16
012-2426-2781	9182.65
012-2426-2782	6098.97
012-2426-2783	2221.78
012-2426-2784	3138.01
012-2426-2785	5808.27
012-2426-2786	183.07
012-2426-2788	3603.07
012-2426-2789	3898.69
012-2426-2790	1977.42
